CTE;Status;Empresa A;Empresa B;Motorista A;Motorista B;Dif Empresa;Dif Motorista;Maior Diferença;Margem B;Página A;Página B
2013;OK por arredondamento;13745.7;13745.7;14275.16;14274.91;0.0;0.25;0.25;;5.0;12.0
2014;OK;12122.4;12122.4;12589.11;12589.11;0.0;0.0;0.0;;5.0;12.0
2015;OK;12242.4;12242.4;12713.73;12713.73;0.0;0.0;0.0;;5.0;12.0
2016;OK;12228.0;12228.0;12698.78;12698.78;0.0;0.0;0.0;;5.0;13.0
2017;OK por arredondamento;22889.0;22889.0;23770.47;23770.23;0.0;0.24;0.24;;5.0;13.0
2018;OK;9568.8;9568.8;9937.2;9937.2;0.0;0.0;0.0;;5.0;13.0
2019;OK por arredondamento;23598.7;23598.7;24507.5;24507.25;0.0;0.25;0.25;;5.0;13.0
2020;OK;12118.6;12118.6;12585.17;12585.17;0.0;0.0;0.0;;5.0;13.0
2021;OK;12096.0;12096.0;12561.7;12561.7;0.0;0.0;0.0;;5.0;13.0
2022;OK por arredondamento;23805.5;23805.5;24722.27;24722.01;0.0;0.26;0.26;;5.0;13.0
2023;OK por arredondamento;24061.8;24061.8;24988.42;24988.18;0.0;0.24;0.24;;5.0;13.0
2024;OK;12737.4;12737.4;13227.79;13227.79;0.0;0.0;0.0;;5.0;13.0
2025;Divergente;4328.0;4328.0;4071.03;4494.63;0.0;-423.6;423.6;;5.0;13.0
2026;OK por arredondamento;14675.4;14675.4;15240.64;15240.4;0.0;0.24;0.24;;5.0;13.0
2027;Divergente;7117.4;7117.4;6930.1;7391.42;0.0;-461.32;461.32;;5.0;13.0
2029;OK;6782.4;6782.4;7043.52;7043.52;0.0;0.0;0.0;;5.0;13.0
2031;Divergente;3604.8;3604.8;3390.77;3743.58;0.0;-352.81;352.81;;5.0;13.0
2033;Divergente;8964.2;8964.2;8681.12;9309.32;0.0;-628.2;628.2;;5.0;13.0
2034;Divergente;9235.9;9235.9;8944.24;9591.48;0.0;-647.24;647.24;;5.0;13.0
2035;Divergente;9247.3;9247.3;8955.28;9603.32;0.0;-648.04;648.04;;5.0;13.0
2036;Divergente;3747.15;3747.15;3891.36;0.0;0.0;3891.36;3891.36;;5.0;13.0
2037;Divergente;9175.1;9175.1;8885.36;9528.34;0.0;-642.98;642.98;;5.0;13.0
2038;OK por arredondamento;24031.2;24031.2;24956.64;24956.4;0.0;0.24;0.24;;5.0;13.0
2039;OK;9266.4;9266.4;9623.16;9623.16;0.0;0.0;0.0;;5.0;14.0
2040;OK;8834.4;8834.4;9174.52;9174.52;0.0;0.0;0.0;;5.0;14.0
2041;OK por arredondamento;23868.0;23868.0;24787.15;24786.92;0.0;0.23;0.23;;5.0;14.0
2042;OK;7705.6;7705.6;8002.27;8002.27;0.0;0.0;0.0;;5.0;14.0
2043;Divergente;4372.3;4372.3;4239.23;4540.63;0.0;-301.4;301.4;;5.0;17.0
2044;OK por arredondamento;24174.0;24174.0;25104.94;25104.7;0.0;0.24;0.24;;5.0;14.0
2045;OK;12086.4;12086.4;12551.73;12551.73;0.0;0.0;0.0;;5.0;14.0
2047;OK por arredondamento;23857.8;23857.8;24776.56;24776.33;0.0;0.23;0.23;;5.0;14.0
2048;Divergente;7697.6;7697.6;7240.56;7993.96;0.0;-753.4;753.4;;5.0;14.0
2049;Divergente;7662.4;7662.4;7207.45;7957.4;0.0;-749.95;749.95;;5.0;14.0
2051;Divergente;7721.6;7721.6;7263.13;8018.88;0.0;-755.75;755.75;;5.0;14.0
2052;Divergente;7760.0;7760.0;7299.25;8058.76;0.0;-759.51;759.51;;5.0;14.0
2053;Divergente;7737.6;7737.6;7278.18;8035.5;0.0;-757.32;757.32;;5.0;14.0
2054;Faltante no A;;12048.0;;12511.85;-12048.0;-12511.85;12511.85;;;14.0
2056;OK por arredondamento;2979.5;2979.5;3094.24;3094.21;0.0;0.03;0.03;;5.0;14.0
